pair	gene name1	gene name2	Uniprot1	Uniprot2	PPI Score	ourID	Phys_BioGRID	Gen_BioGRID	string	ExpCont	PDB_complex	UniFun1	UniFun2	KEGG1	KEGG2	Uniloc1	Uniloc2	Phob1	Phob2	KEGGpath1	KEGGpath2	UniPubsInt	UniPubsU	Human	pdbmono1	pdbmono2	orf_name1	orf_name2	orf_name_a	orf_name_b
YDL240W_YPR165W	RHO1	LRG1	P06780	P35688	0.9927	1166960at2759_155365at2759	0.629	0.2	999	gold	homolog	GTP-binding protein RHO1 (Rho-type GTPase 1)	Rho-GTPase-activating protein LRG1 (LIM-RhoGAP protein 1)	YPR165W	na	Cell membrane; Lipid-anchor. Endosome membrane; Lipid-anchor. Peroxisome membrane; Lipid-anchor. Note=Plasma membrane-associated at sites of polarized growth such as incipient bud sites, bud tips, the bud neck during cytokinesis, and the neck and tip of mating projections. Also found on internal membranes of endosomes and peroxisomes.	Cytoplasm. Bud. Bud neck. Note=Localized to the bud site during bud formation and at the bud neck during cytokinesis.	-	-	genetic,cellular	na	11591390, 22814378, 11447600, 24374639	34	1	3a58_F	na	YPR165W	YDL240W	YDL240W	YPR165W
YDR195W_YKL018W	SWD2	REF2	P36104	P42073	0.9927	1146727at2759_962669at2759	0.191	1	996	lit	na	COMPASS component SWD2 (Complex proteins associated with SET1 protein SWD2) (Set1C component SWD2)	RNA end formation protein 2	YKL018W	YDR195W	Nucleus {ECO:0000269|PubMed:12819204}. Chromosome, telomere {ECO:0000269|PubMed:12819204}.	Nucleus {ECO:0000269|PubMed:12819204}.	-	-	genetic	genetic	12819204, 24374639, 14562106	17	1	na	na	YKL018W	YDR195W	YDR195W	YKL018W
YFR008W_YMR052W	FAR3	FAR7	P46671	P43592	0.9927	1540991at2759_1552853at2759	0.546	0	982	y2h	na	Factor arrest protein 3	Factor arrest protein 7	na	na	Endoplasmic reticulum {ECO:0000269|PubMed:14562095}.	na	-	-	na	na	12588993, 24374639, 14562106	7	na	na	na	YMR052W	YFR008W	YFR008W	YMR052W
YJL019W_YOL104C	NDJ1	MPS3	Q12366	P47069	0.9927	1459013at2759_854087at2759	1.547	0.043	936	na	na	Non-disjunction protein 1 (Telomere-associated meiosis protein 1)	Spindle pole body assembly component MPS3 (98 kDa nuclear envelope protein) (Monopolar spindle protein 3)	na	na	Nucleus {ECO:0000269|PubMed:11018056, ECO:0000269|PubMed:16254243, ECO:0000269|PubMed:9157883, ECO:0000269|PubMed:9242487}. Chromosome, telomere {ECO:0000269|PubMed:11018056, ECO:0000269|PubMed:16254243, ECO:0000269|PubMed:9157883, ECO:0000269|PubMed:9242487}.	Nucleus membrane; Single-pass type II membrane protein. Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body. Note=Localizes to the spindle pole body half bridge throughout the cell cycle.	Extracellular	Transmembrane	na	na	17495028, 18585352, 24374639	31	na	na	na	YOL104C	YJL019W	YJL019W	YOL104C
YIL150C_YLR103C	CDC45	MCM10	Q08032	P32354	0.9927	1309031at2759_792017at2759	1.075	1.167	999	na	na	Cell division control protein 45	Minichromosome maintenance protein 10 (Protein DNA43)	YLR103C	YIL150C	Nucleus {ECO:0000269|PubMed:8901577}.	Nucleus {ECO:0000269|PubMed:10783164, ECO:0000269|PubMed:11168584, ECO:0000269|PubMed:13680157, ECO:0000269|PubMed:9154825}. Note=Colocalizes with ORC1 on chromatin independent from cell cycle. According to PubMed:15494305 is recruited to replication origins in a cell cycle regulated manner.	-	-	genetic,cellular	genetic	15201046, 24374639, 14562106	21	1	6skl_E	na	YLR103C	YIL150C	YIL150C	YLR103C
YIL071C_YOL117W	RRI2	PCI8	Q12348	P40512	0.9927	1026413at2759_1155007at2759	0.012	na	997	apms	na	COP9 signalosome complex subunit 10	Cop9 signalosome complex subunit 11 (Proteasome-COP9 signalosome-eIF3 domain protein 8)	YOL117W	YIL071C	Cytoplasm {ECO:0000305|PubMed:14562095}. Nucleus {ECO:0000305|PubMed:14562095}.	Cytoplasm {ECO:0000305|PubMed:14562095}. Nucleus {ECO:0000305|PubMed:14562095}.	-	-	genetic	genetic	12186635, 14562106, 12446563, 11805826, 14562095, 24374639	12	na	na	na	YOL117W	YIL071C	YIL071C	YOL117W
YDR189W_YOR075W	UFE1	SLY1	P41834	P22213	0.9927	1141750at2759_917326at2759	0.488	0.071	993	lit	na	Syntaxin UFE1	Protein SLY1 (Suppressor of loss of YPT1 protein 1)	YOR075W	YDR189W	Endoplasmic reticulum membrane; Single-pass type IV membrane protein.	Cytoplasm. Membrane; Peripheral membrane protein.	Transmembrane	-	cellular,genetic	genetic	24374639	10	both	na	1mqs_A	YOR075W	YDR189W	YDR189W	YOR075W
YLL032C_YML119W	YML119W	YLL032C	Q03208	Q07834	0.9927	1629799at2759_753986at2759	0.017	na	808	y2h	na	Uncharacterized protein YML119W	KH domain-containing protein YLL032C	na	na	na	Cytoplasm {ECO:0000269|PubMed:14562095}.	-	-	na	na	19779198, 24374639, 18407956, 17287358	8	na	na	na	YML119W	YLL032C	YLL032C	YML119W
YDL044C_YLR139C	MTF2	SLS1	P10849	P42900	0.9927	1324599at2759_677635at2759	0.003	0.5	726	apms	na	Mitochondrial transcription factor 2 (Protein NAM1)	Sigma-like sequence protein 1, mitochondrial (Protein SLS1)	na	na	Mitochondrion matrix.	Mitochondrion inner membrane {ECO:0000269|PubMed:8917313}.	-	-	na	na	24374639, 14562106	11	na	na	na	YDL044C	YLR139C	YDL044C	YLR139C
YGL128C_YLR424W	SPP382	CWC23	Q06411	P52868	0.9927	1238995at2759_1506099at2759	1.334	0.383	923	apms	ortholog	Pre-mRNA-splicing factor SPP382 (CLF1 complex factor 8) (Nineteen complex-related protein 1) (NTC-related protein 1) (Suppressor of PRP38 protein 2)	Pre-mRNA-splicing factor CWC23 (Complexed with CEF1 protein 23)	YLR424W	na	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.	-	-	genetic	na	14690591, 24374639, 14562095	17	1	5y88_U	5y88_T	YLR424W	YGL128C	YGL128C	YLR424W
YLR244C_YNR029C	MAP1	YNR029C	Q01662	P53729	0.9927	1002357at2759_1144889at2759	0.001	na	569	y2h	na	Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M 1)	Uncharacterized protein YNR029C	YLR244C	na	Cytoplasm.	na	-	-	metabolism	na	24374639, 14562106	14	both	na	na	YLR244C	YNR029C	YLR244C	YNR029C
YLR388W_YNL178W	RPS3	RPS29A	P05750	P41057	0.9927	1135751at2759_1635465at2759	0	na	999	gold	ortholog	40S ribosomal protein S3 (RP13) (Small ribosomal subunit protein uS3) (YS3)	40S ribosomal protein S29-A (S36) (Small ribosomal subunit protein uS14-A) (YS29)	YNL178W	YLR388W	Cytoplasm {ECO:0000269|PubMed:22096102}.	Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.	-	-	genetic	genetic	18782943, 14562106, 10601260, 18407956, 17287358, 21109664, 24524803, 22096102, 9559554, 24374639	27	both	6zu9_B	6zu9_N	YNL178W	YLR388W	YLR388W	YNL178W
YAL033W_YBR167C	POP5	POP7	P28005	P38291	0.9927	1492689at2759_1528213at2759	0.033	0	995	apms	ortholog	Ribonuclease P/MRP protein subunit POP5 (EC 3.1.26.5) (RNA-processing protein POP5) (RNase P/MRP 19.6 kDa subunit)	Ribonucleases P/MRP protein subunit POP7 (EC 3.1.26.5) (RNA-processing protein POP7) (RNases P/MRP 15.8 kDa subunit)	YAL033W	YBR167C	Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.	Nucleus {ECO:0000269|PubMed:14562095}.	-	-	genetic	genetic	15637077, 24374639, 9620854, 14562095	12	1	7c7a_E	7c7a_G	YAL033W	YBR167C	YAL033W	YBR167C
YCL008C_YGL045W	STP22	RIM8	P25604	P53179	0.9927	1435538at2759_817924at2759	0.783	0	956	na	na	Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease (ESCRT-I complex subunit VPS23) (Vacuolar protein sorting-associated protein 23)	pH-response regulator protein palF/RIM8 (Regulator of IME2 protein 8)	YCL008C	YGL045W	Cytoplasm. Endosome. Late endosome membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}.	na	-	-	cellular,genetic	genetic	24374639, 14562106	22	both	2p22_A	na	YCL008C	YGL045W	YCL008C	YGL045W
YBR268W_YNL185C	MRPL19	MRPL37	P53875	P36532	0.992	1346532at2759_1538612at2759	0	na	929	na	homolog	54S ribosomal protein L19, mitochondrial (Mitochondrial large ribosomal subunit protein uL11m) (YmL19)	54S ribosomal protein L37, mitochondrial (Mitochondrial large ribosomal subunit protein mL54) (YmL37)	YNL185C	YBR268W	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	genetic	genetic	24675956, 14562106, 25609543, 14576278, 14562095, 24374639	13	both	na	na	YNL185C	YBR268W	YBR268W	YNL185C
YMR288W_YNL138W-A	YSF3	HSH155	P0C074	P49955	0.992	1632322at2759_245208at2759	0.1	na	999	na	ortholog	RDS3 complex subunit 10 (Splicing factor 3b subunit)	U2 snRNP component HSH155	YNL138W-A	YMR288W	Nucleus {ECO:0000305}.	Nucleus {ECO:0000250}.	-	-	genetic	genetic	24374639	9	both	6g90_Z	7dco_1	YNL138W-A	YMR288W	YMR288W	YNL138W-A
YKL021C_YPR143W	RRP15	MAK11	Q06511	P20484	0.992	1522334at2759_824688at2759	0.03	0	967	na	na	Ribosomal RNA-processing protein 15	Protein MAK11 (Maintenance of killer protein 11)	na	na	Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.	Nucleus, nucleolus {ECO:0000269|PubMed:2826479}. Nucleus membrane {ECO:0000269|PubMed:2826479}; Peripheral membrane protein {ECO:0000269|PubMed:2826479}. Note=Membrane associated.	-	-	na	na	17330950, 19779198, 24374639, 14562106	14	both	6c0f_w	na	YPR143W	YKL021C	YKL021C	YPR143W
YDR427W_YOR261C	RPN8	RPN9	Q08723	Q04062	0.992	1275837at2759_919955at2759	0.186	na	999	lit	ortholog	26S proteasome regulatory subunit RPN8	26S proteasome regulatory subunit RPN9 (Proteasome non-ATPase subunit 7)	YOR261C	YDR427W	na	na	-	-	genetic	genetic	22927375, 12504901, 24374639, 14562106	15	both	6j30_U	6j30_O	YOR261C	YDR427W	YDR427W	YOR261C
YKL207W_YLL014W	EMC3	EMC6	P36039	Q12431	0.992	1482782at2759_1547548at2759	na	na	999	na	ortholog	ER membrane protein complex subunit 3 (Altered inheritance rate of mitochondria protein 27)	ER membrane protein complex subunit 6	YKL207W	YLL014W	Endoplasmic reticulum membrane {ECO:0000305|PubMed:29809151}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9P0I2}.	Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9BV81}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9BV81}.	Transmembrane	Transmembrane	genetic	genetic	19325107, 24374639, 29809151	12	both	7ktx_C	6wb9_6	YKL207W	YLL014W	YKL207W	YLL014W
YGL079W_YMR199W	KXD1	CLN1	E7LUC9	E7QDA1	0.992	1469363at2759_1564181at2759	0.1	na	992	y2h	na	Biogenesis of lysosome-related organelles complex 1 subunit KXD1 (BLOC-1 subunit KXD1) (KxDL homolog)	Biogenesis of lysosome-related organelles complex 1 subunit CNL1 (BLOC-1 subunit CNL1) (CNO-like protein 1)	YGL079W	YDR357C	Endosome {ECO:0000250}.	Cytoplasm {ECO:0000250}. Note=Punctate pattern. {ECO:0000250}.	-	-	genetic	genetic	21304888	1	na	na	na	YGL079W	YMR199W	YGL079W	YMR199W
YDR517W_YPR181C	GRH1	SEC23	Q04410	P15303	0.992	1366434at2759_270617at2759	0.102	na	912	apms	na	GRASP65 homolog protein 1	Protein transport protein SEC23	na	na	Cytoplasm. Golgi apparatus, cis-Golgi network membrane; Peripheral membrane protein. Note=Localizes to cytoplasm in a punctate pattern. Association with the cis-Golgi requires N-terminal acetylation and is probably mediated via an N-terminal amphipathic helix. The localization to the Golgi is MAK3-dependent and SYS1-independent. Localizes to the Golgi together with BUG1.	Cytoplasmic vesicle, COPII-coated vesicle membrane {ECO:0000269|PubMed:10720463, ECO:0000269|PubMed:11086000, ECO:0000269|PubMed:12235121, ECO:0000269|PubMed:8548805, ECO:0000269|PubMed:9568718}; Peripheral membrane protein {ECO:0000269|PubMed:11086000, ECO:0000269|PubMed:8548805}; Cytoplasmic side {ECO:0000269|PubMed:8548805}. Cytoplasm {ECO:0000269|PubMed:8548805}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:8548805}; Peripheral membrane protein; Cytoplasmic side. Golgi apparatus membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}.	-	-	na	na	16269340, 17261844, 24374639, 19779198	49	both	6g8y_A	4bzi_G	YDR517W	YPR181C	YDR517W	YPR181C
YDR092W_YGL087C	UBC13	MMS2	P52490	P53152	0.992	1345547at2759_1507995at2759	3.483	na	999	gold	ortholog	Ubiquitin-conjugating enzyme E2 13 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 13) (Ubiquitin carrier protein 13) (Ubiquitin-protein ligase 13)	Ubiquitin-conjugating enzyme variant MMS2 (UEV MMS2)	YDR092W	YGL087C	na	na	-	-	genetic	genetic	24374639, 11440714, 14562106	12	both	1jbb_B	5ojw_B	YDR092W	YGL087C	YDR092W	YGL087C
YGL097W_YOR185C	SRM1	GSP2	P21827	P32836	0.992	1062377at2759_1083175at2759	0.119	0.333	993	lit	homolog	Guanine nucleotide exchange factor SRM1 (Pheromone response pathway component SRM1) (Pre-mRNA-processing protein 20) (Regulator of chromosome condensation) (Suppressor of receptor mutations 1) (mRNA transport protein 1)	GTP-binding nuclear protein GSP2/CNR2	YGL097W	YOR185C	Nucleus {ECO:0000269|PubMed:11523802, ECO:0000269|PubMed:16365162, ECO:0000269|PubMed:1666302, ECO:0000269|PubMed:1865879, ECO:0000269|PubMed:2022190}.	Nucleus.	-	-	genetic	cellular,genetic	24374639, 14562106	31	both	5t94_A	3wyf_D	YGL097W	YOR185C	YGL097W	YOR185C
YDR237W_YDR322W	MRPL7	MRPL35	P36519	Q06678	0.992	1173895at2759_1557122at2759	0.063	na	996	apms	ortholog	54S ribosomal protein L7, mitochondrial (Mitochondrial large ribosomal subunit protein uL5m) (YmL5) (YmL7)	54S ribosomal protein L35, mitochondrial (Mitochondrial large ribosomal subunit protein mL38) (YmL35)	YDR237W	YDR322W	Mitochondrion {ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}. Note=Mitoribosomes are tethered to the mitochondrial inner membrane and spatially aligned with the membrane insertion machinery through two distinct membrane contact sites, formed by the 21S rRNA expansion segment 96-ES1 and the inner membrane protein MBA1. {ECO:0000269|PubMed:25609543}.	-	-	genetic	genetic	25609543, 14576278, 24675956, 9169867, 24374639	12	2	3j6b_E	3j6b_1	YDR237W	YDR322W	YDR237W	YDR322W
YJR112W_YPL233W	NSL1	NNF1	Q12143	P47149	0.9917	1346347at2759_1438580at2759	0.194	0	998	lit	homolog	Kinetochore-associated protein NSL1	Kinetochore-associated protein NNF1	YPL233W	YJR112W	Nucleus {ECO:0000269|PubMed:12455957, ECO:0000269|PubMed:14657030}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:12455957, ECO:0000269|PubMed:14657030}. Note=Associated with the kinetochore (PubMed:12455957, PubMed:14657030).	Nucleus {ECO:0000269|PubMed:12455957}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:12455957, ECO:0000269|PubMed:14657030}. Note=Associated with the kinetochore (PubMed:12455957, PubMed:14657030).	-	-	genetic	genetic	17322287, 14690591, 14562106, 22814378, 14633972, 14602074, 14657030, 12455957, 24374639	12	na	na	na	YPL233W	YJR112W	YJR112W	YPL233W
YGR183C_YHR001W-A	QCR10	QCR9	P37299	P22289	0.9917	1609264at2759_1624769at2759	na	0	999	na	ortholog	Cytochrome b-c1 complex subunit 10, mitochondrial (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c oxidoreductase subunit 10) (Ubiquinol-cytochrome c reductase 8.5 kDa protein)	Cytochrome b-c1 complex subunit 9, mitochondrial (Complex III subunit 9) (Complex III subunit X) (Cytochrome c1 non-heme 7.3 kDa protein) (Ubiquinol-cytochrome c oxidoreductase subunit 9) (Ubiquinol-cytochrome c reductase 7.3 kDa protein)	YHR001W-A	YGR183C	Mitochondrion inner membrane {ECO:0000269|PubMed:30598554}; Single-pass membrane protein {ECO:0000269|PubMed:30598554}.	Mitochondrion inner membrane {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}; Single-pass membrane protein {ECO:0000269|PubMed:18390544, ECO:0000269|PubMed:30598554}.	Transmembrane	Transmembrane	metabolism	metabolism	14562106, 10775262, 10764779, 30598554, 30598556, 24374639	15	2	6t15_U	6t15_T	YHR001W-A	YGR183C	YGR183C	YHR001W-A
YGL200C_YML012W	EMP24	ERV25	P32803	P54837	0.9917	1328081at2759_1370889at2759	1.002	na	999	apms	na	Endosomal protein P24B (24 kDa endomembrane protein) (Basic 24 kDa late endocytic intermediate component)	Endoplasmic reticulum vesicle protein 25	YGL200C	YML012W	Endoplasmic reticulum membrane {ECO:0000269|PubMed:10713261}; Single-pass type I membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:11560939}; Single-pass type I membrane protein {ECO:0000255}. Note=Recycles between endoplasmic reticulum and Golgi (PubMed:11560939). {ECO:0000269|PubMed:11560939}.	Endoplasmic reticulum membrane; Single-pass type I membrane protein. Golgi apparatus membrane; Single-pass type I membrane protein. Note=Recycles between endoplasmic reticulum and Golgi.	Transmembrane	Transmembrane	genetic	genetic	14562106, 10359606, 8900179, 10713261, 11560939, 24374639	13	both	na	na	YGL200C	YML012W	YGL200C	YML012W
YDR142C_YLR191W	PEX13	PEX7	P80667	P39108	0.9917	1085263at2759_793152at2759	0.467	na	999	gold	na	Peroxisomal membrane protein PAS20 (Peroxin-13)	Peroxisomal targeting signal 2 receptor (PTS2 receptor) (Peroxin-7) (Peroxisome import protein PAS7)	YLR191W	YDR142C	Peroxisome membrane; Single-pass membrane protein.	Cytoplasm. Peroxisome.	Transmembrane	-	cellular	cellular	24374639, 14562106	10	both	1n5z_B	3w15_A	YLR191W	YDR142C	YDR142C	YLR191W
YBR201W_YML029W	DER1	USA1	P38307	Q03714	0.9917	1609512at2759_627025at2759	1.52	0.334	998	y2h	ortholog	Degradation in the endoplasmic reticulum protein 1	U1 SNP1-associating protein 1	YBR201W	YML029W	Endoplasmic reticulum membrane {ECO:0000269|PubMed:8631297}; Multi-pass membrane protein {ECO:0000269|PubMed:8631297}.	Endoplasmic reticulum membrane {ECO:0000269|PubMed:19898607}; Multi-pass membrane protein {ECO:0000269|PubMed:19898607}.	Transmembrane	Transmembrane	genetic	genetic	20005842, 16873066, 16847258, 24374639, 14562106	18	1	6vk0_C	6vk0_D	YBR201W	YML029W	YBR201W	YML029W
YOR261C_YPR108W	RPN7	RPN8	Q06103	Q08723	0.9917	1194691at2759_1275837at2759	0.012	0	999	apms	ortholog	26S proteasome regulatory subunit RPN7	26S proteasome regulatory subunit RPN8	YPR108W	YOR261C	na	na	-	-	genetic	genetic	17322287, 22927375, 14562106, 18407956, 19779198, 12504901, 24374639	14	both	6j30_R	6j30_U	YPR108W	YOR261C	YOR261C	YPR108W
YIL142W_YJL014W	CCT2	CCT3	P39076	P39077	0.9917	335406at2759_391677at2759	0.402	0.167	999	na	ortholog	T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)	T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma)	YIL142W	YJL014W	Cytoplasm.	Cytoplasm.	-	-	cellular,genetic	cellular,genetic	22814378, 24374639, 7916460	11	both	6ks8_B	6kre_G	YIL142W	YJL014W	YIL142W	YJL014W
YDR148C_YFR049W	YMR31	KGD2	P19955	P19262	0.9917	1643642at2759_850255at2759	0.168	na	997	y2h	na	37S ribosomal protein YMR-31, mitochondrial	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)	YFR049W	YDR148C	Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.	Mitochondrion.	-	-	genetic	metabolism	24374639, 14562106	11	both	na	na	YFR049W	YDR148C	YDR148C	YFR049W
YGR216C_YPL076W	GPI2	GPI1	P46961	P53306	0.991	1241278at2759_1247641at2759	na	0	997	na	na	Phosphatidylinositol N-acetylglucosaminyltransferase GPI2 subunit (GPI-GlcNAc transferase complex subunit GPI2) (GPI-GnT subunit GPI2) (EC 2.4.1.198)	Phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1 (GPI-GlcNAc transferase complex subunit GPI1) (GPI-GnT subunit GPI1) (EC 2.4.1.198)	YPL076W	YGR216C	Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Transmembrane	Transmembrane	metabolism	metabolism	15163411, 16847258, 24374639	10	both	na	na	YPL076W	YGR216C	YGR216C	YPL076W
YJL001W_YOR157C	PRE3	PUP1	P38624	P25043	0.991	1172133at2759_977476at2759	0.131	4.004	999	lit	ortholog	Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit PRE3) (Multicatalytic endopeptidase complex subunit PRE3) (Proteasome component PRE3) (Proteinase YSCE subunit PRE3)	Proteasome subunit beta type-2 (EC 3.4.25.1) (Macropain subunit PUP1) (Multicatalytic endopeptidase complex subunit PUP1) (Proteasome component PUP1) (Proteinase YSCE subunit PUP1)	YJL001W	YOR157C	Cytoplasm. Nucleus.	Cytoplasm. Nucleus.	-	-	metabolism,genetic	metabolism,genetic	14562106, 22927375, 20227375, 11081519, 22814378, 9087403, 16608349, 16793518, 16531229, 11062564, 24374639	18	both	6j30_b	7lsx_I	YJL001W	YOR157C	YJL001W	YOR157C
YBR191W_YOR312C	RPL20B	RPL21A	P0CX24	Q02753	0.991	1265349at2759_1455026at2759	na	na	999	na	ortholog	60S ribosomal protein L20-B (L18a) (Large ribosomal subunit protein eL20-B)	60S ribosomal protein L21-A (Large ribosomal subunit protein eL21-A)	YOR312C	YBR191W	Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.	Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.	-	-	genetic	genetic	22096102, 9559554, 24524803, 24374639, 14562095	20	both	7btb_S	7btb_T	YOR312C	YBR191W	YBR191W	YOR312C
YBR247C_YDL148C	ENP1	NOP14	P38333	Q99207	0.991	1193442at2759_950459at2759	0.133	na	999	lit	ortholog	Essential nuclear protein 1	Nucleolar complex protein 14 (U three protein 2) (U3 small nucleolar RNA-associated protein 2) (U3 snoRNA-associated protein 2)	YBR247C	YDL148C	Cytoplasm. Nucleus, nucleolus.	Nucleus, nucleolus {ECO:0000269|PubMed:12068309, ECO:0000269|PubMed:12446671}.	-	-	genetic	genetic	24374639	14	both	7aju_JH	7aju_UB	YBR247C	YDL148C	YBR247C	YDL148C
YDR416W_YLR132C	USB1	SYF1	Q12208	Q04048	0.991	1507496at2759_370051at2759	na	na	290	na	na	U6 snRNA phosphodiesterase (EC 3.1.4.-) (U six biogenesis protein 1)	Pre-mRNA-splicing factor SYF1 (PRP19-associated complex protein 90) (Synthetic lethal with CDC40 protein 1)	na	na	Nucleus {ECO:0000269|PubMed:14690591}. Mitochondrion {ECO:0000269|PubMed:14690591}.	Nucleus {ECO:0000269|PubMed:14562095}.	-	-	na	na	14690591, 24374639, 14562095, 14562106	15	both	5uqj_A	7dco_I	YLR132C	YDR416W	YDR416W	YLR132C
YKL172W_YMR049C	EBP2	ERB1	P36049	A6ZMA9	0.991	1154126at2759_759498at2759	0	na	999	apms	ortholog	rRNA-processing protein EBP2 (EBNA1-binding protein homolog)	Ribosome biogenesis protein ERB1 (Eukaryotic ribosome biogenesis protein 1)	YKL172W	YMR049C	Nucleus, nucleolus {ECO:0000269|PubMed:10849420, ECO:0000269|PubMed:10947841}.	Nucleus, nucleolus {ECO:0000255|HAMAP-Rule:MF_03027}. Nucleus, nucleoplasm {ECO:0000255|HAMAP-Rule:MF_03027}.	-	-	genetic	genetic	na	9	both	6em5_J	4u7a_A	YKL172W	YMR049C	YKL172W	YMR049C
YBL026W_YJR022W	LSM8	LSM2	P47093	P38203	0.991	1545004at2759_1571169at2759	0.155	0.167	999	gold	ortholog	U6 snRNA-associated Sm-like protein LSm8	U6 snRNA-associated Sm-like protein LSm2 (Small nuclear ribonucleoprotein D homolog SNP3)	YJR022W	YBL026W	Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm {ECO:0000269|PubMed:14562095}.	Nucleus. Cytoplasm {ECO:0000305}.	-	-	genetic	genetic	24240276, 10449419, 14562106, 10747033, 12438310, 12077351, 15485930, 24374639	22	both	6aso_H	4n0a_G	YJR022W	YBL026W	YBL026W	YJR022W
YLR378C_YOR254C	SEC61	SEC63	P32915	P14906	0.991	482911at2759_686427at2759	2.045	1	999	lit	ortholog	Protein transport protein SEC61 (Sec61 complex subunit SEC61) (Sec61 complex subunit alpha)	Protein translocation protein SEC63 (Protein NPL1) (Sec62/63 complex 73 kDa subunit)	YLR378C	YOR254C	Endoplasmic reticulum membrane; Multi-pass membrane protein.	Endoplasmic reticulum membrane; Multi-pass membrane protein. Nucleus membrane; Multi-pass membrane protein. Nucleus inner membrane; Multi-pass membrane protein.	Transmembrane	Transmembrane	genetic,cellular	cellular,genetic	16847258, 24374639, 14562106	29	both	7kb5_A	7aft_D	YLR378C	YOR254C	YLR378C	YOR254C
YML026C_YOL040C	RPS18B	RPS15	P0CX56	Q01855	0.9907	1343043at2759_1390881at2759	0	na	999	gold	ortholog	40S ribosomal protein S18-B (Small ribosomal subunit protein uS13-B)	40S ribosomal protein S15 (RIG protein) (RP52) (S21) (Small ribosomal subunit protein uS19) (YS21)	YML026C	YOL040C	Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.	Cytoplasm {ECO:0000269|PubMed:22096102}.	-	-	genetic	genetic	22106047, 10601260, 22814378, 24524803, 22096102, 9559554, 24374639	21	both	7aju_DS	6z6k_SP	YML026C	YOL040C	YML026C	YOL040C
